id;nombre
1;Drama
2;Comedia
3;Acción
4;Ciencia Ficción
5;Fantasía
6;Terror
7;Thriller
8;Suspense
9;Policíaco
10;Romance
11;Melodrama
12;Musical
13;Animación
14;Western
15;Bélico
16;Histórico
17;Aventura
18;Noir
19;Serie B
20;Indie
21;Mudo
22;Catástrofe
23;Documental
24;Biográfico
25;Infantil
26;Surrealista
27;Basado en hechos reales
28;Tragedia
